round,server_test_acc
0,19.61
1,51.76
2,52.56
3,60.58
4,47.63
5,56.9
6,69.31
7,67.3
8,68.47
9,70.34
10,74.32
11,74.67
12,64.38
13,67.54
14,71.06
15,70.7
16,74.8
17,73.34
18,75.3
19,69.4
20,75.53
21,69.2
22,77.1
23,77.59
24,77.29
25,74.03
26,77.74
27,72.78
28,78.78
29,79.24
30,79.39
31,77.81
32,73.5
33,78.93
34,79.65
35,79.32
36,77.73
37,76.34
38,79.67
39,80.84
40,78.45
41,77.05
42,80.07
43,79.72
44,80.88
45,81.2
46,76.57
47,79.94
48,80.25
49,80.39
50,76.49
51,77.12
52,38.31
53,10.0
54,10.0
55,10.0
56,10.0
57,10.0
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,10.0
107,10.0
108,10.0
109,10.0
110,10.0
111,10.0
112,10.0
113,10.0
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.0
127,10.0
128,10.0
129,10.0
130,10.0
131,10.0
132,10.0
133,10.0
134,10.0
135,10.0
136,10.0
137,10.0
138,10.0
139,10.0
140,10.0
141,10.0
142,10.0
143,10.0
144,10.0
145,10.0
146,10.0
147,10.0
148,10.0
149,10.0
